Profile ID;Organisation;Location;Work Category;
792;Academy of Human Environment and Development;Andhra Pradesh, Hyderabad;Children , Education - Literacy , Women;
794;Academy of Human Resource Development;Andhra Pradesh, Hyderabad;Social Welfare;
3636;Academy of Human Resources Development;Gujarat, Ahmedabad;Human Rights;
22970;Academy of Kanishka Computers;Rajasthan, Jaipur;Social Welfare;
13724;ACADEMY of LEARNING and DEVELOPMENT;Maharashtra, Mumbai, Andheri (W);Capacity Building , Disabilities - Mentally - Challenged;
17362;Academy of Natural Health & Beauty;Maharashtra, Pune;Holistic Development;
39698;Academy Of Sanskrit Research;Karnataka, Mandya;Children - Education;
17988;Academy of Senior Citizens for Research and Education;Maharashtra, Pune;Education - Literacy , Senior Citizens;
19816;Academy of Technocrats;Orissa, Behrampur;Children - Education;
16314;Access 4All;Maharashtra, Mumbai, Vile Parle (E);Disabilities - Physically - Challenged;
32510;Accomplishment for Rural Integration, Service and Education - Arise India;Tamil Nadu, Vellore;Education - Literacy , Medical - HIV / AIDs;
21242;Accord;Orissa, Koraput;Social Welfare;
36722;Acharaya Institutes;Karnataka, Bangalore;Children - Education;
21546;Acharya Harihar Sishu Bhawan;Orissa, Puri;Social Welfare;
7796;Acharya Kakasaheb Kalelkar Samarak Nidhi;Delhi, Delhi;Social Welfare;
17318;Acharya Narendra Dev Educational,Social,Economical Dev.Research Project and Bharat Padyatri;Maharashtra, Parbhani;Children - Education;
17320;Acharya Narendra Dev Educational,Social,Economical Dev.Research Project and Bharat Padyatri;Maharashtra, Parbhani;Children - Education , Social Welfare;
31850;Acharya Shree Hasthai Aradhana Foundation;Tamil Nadu, Tiruthanni;Children - Education , Social Welfare;
22848;Acharya Shree Nanesh Samta Vikas Trust;Rajasthan, Chittorgarh;Social Welfare;
7798;Acharya Sushil Muni Memorial Trust;Delhi, Delhi;Children - Education;
33052;Achhaibar Gram Vikas Seva Sansthan;Uttar Pradesh, Basti;Environment , Library , Vocational Training;
18662;Achkan Educational Trust;Maharashtra, Thane;Children - Education , Children - Education;
21548;Achyata Nanda Club;Orissa, Puri;Social Welfare;
10654;Acid Survivors Foundation India;Delhi, Delhi;Education - Literacy , Medical - Health;
41264;Acme Aegis Social Welfare Trust;Kerala, Pathanamthitta;Education - Literacy , Medical - Heart , Social Welfare;
13762;Acorn Foundation ( INDIA);Maharashtra, Mumbai, Bandra (E);Environment , Solid Waste Management;
26504;Acoustical Foundation For Education And Charitable Trust (afect);Tamil Nadu, Chennai;Children - Education , Social Welfare;
16326;Act - Kalpana;Maharashtra, Mumbai, Vile Parle (W);Women;
29256;ACT FOUNDATION;Tamil Nadu, Madurai;Business - NGO Products , Microfinance , Rural and Urban Development;
3520;ACT NOW;Gujarat, Ahmedabad;Community Development , Rural Development;
36100;Act Now (Banglore);Karnataka, Bangalore;Support Groups;
2592;Act Now for Alternative Development Initiative - ANADI;Bihar, Patna;Disaster Management , Education - Literacy , Rural Development;
2758;Act to Rise for Innovation in Special Education;Chandigarh, Chandigarh;Disabilities , Disabilities - Visually - Challenged , Education - Slow Learners;
2746;Act to Rise for Innovation in Special Education (A R I S E);Chandigarh, Chandigarh;Disabilities , Disabilities - Visually - Challenged , Education - Literacy;
14998;ACT-Chiraag;Maharashtra, Mumbai, Grant Road (W);Community Development , Family Welfare , Holistic Development;
10766;Action Aid;Delhi, Delhi;Children - Education , Medical - HIV / AIDs , Women;
36250;Action Aid;Karnataka, Bangalore;Medical - HIV / AIDs , Rural Development;
1292;Action Collective of Outcastes and Oppressed for Progress;Andhra Pradesh, Medak;Empowerment , Women;
15896;Action Council against Tobacco India;Maharashtra, Mumbai, Parel;Medical - Cancer , Medical - Health , Networks;
7800;Action for Ability Development and Inclusion;Delhi, Delhi;Children - Education;
17964;Action for Agricultural Reenwal in Maharashtra;Maharashtra, Pune;Agriculture , Networks , Rural Development;
17686;Action For Agricultural Renewal In Maharashtra;Maharashtra, Pune;Social Welfare , Social Welfare;
17990;Action for Agricultural Renewal in Maharashtra;Maharashtra, Pune;Agriculture , Disaster Management , Rural Development;
10168;Action for Autism;Delhi, Delhi;Disabilities - Mentally - Challenged;
22542;Action for Awareness in Rural Environment;Rajasthan, Ajmer;Rural Development;
19470;Action For Better Living And Environment;Orissa, Anugul;Social Welfare;
26510;Action For Child Labour;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
1062;Action for Collective Tribal Improvement & Vocational Education;Andhra Pradesh, Khammam;Children - Education , Community Development;
29342;Action For Community Transformation India Foundation Trust;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
2532;Action for Development of Demos (ADD);Bihar, Patna;Education - Literacy , Medical - Health , Rural Development;
24012;Action for Environment Conservation;Rajasthan, Udaipur;Rural Development;
7802;Action For Food Production;Delhi, Delhi;Social Welfare;
10656;Action for Gender Justice and Empowerment;Delhi, Delhi;Women;
1066;Action for Girijan Development;Andhra Pradesh, Khammam;Community Development , Medical - Health , Women;
